Market successfully initialized: <main.market.SupplyDemandMarket object at 0x000002941114AAF0>
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: Refiner {'food': 112, 'wood': 0, 'ore': 280, 'metal': 10.0, 'tool': 14.000000000000004}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}
AFTER WORKING: BlackSmith {'food': 112, 'wood': 0, 'ore': 0, 'metal': 144.00000000000006, 'tool': 4.08}

[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0, 0.0, 0] 70.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0, 0.0] 69.768
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 28.5
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0, 0.0] 69.768
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0, 0.0, 0] 70.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0, 0.0, 0] 70.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0.0, 0.0, 0] 32.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 32.3
[0, 0.0, 0, 0.0, 0] 70.3
[0.0, 0, 0.0, 0.0, 0] 264.09999999999997
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0, 0.0, 0] 70.3
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0.0, 0] 28.5
[0, 0.0, 0.0, 0, 0.0] 69.768
[0, 0.0, 0, 0.0, 0] 70.3
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Farmer {'food': 8.0, 'wood': 280.0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: WoodCutter {'food': 112.0, 'wood': 0, 'ore': 0.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Miner {'food': 112.0, 'wood': 0.0, 'ore': 0, 'metal': 0.0, 'tool': 20.999999999999996}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
AFTER DISTRIBUTION: Refiner {'food': 112.0, 'wood': 0.0, 'ore': 280.0, 'metal': 0.0, 'tool': 14.000000000000004}
